,artist_name,album_name,song_name,line
1,linkin park,Meteora,Breaking the Habit,"Memories consume, like opening the woundI'm picking me apart againYou all assume I'm safe here in my roomUnless I try to start againI don't want to be the one the battles always choose'Cause inside, I realize that I'm the one confusedI don't know what's worth fighting for or why I have to screamI don't know why I instigate and say what I don't meanI don't know how I got this way, I know it's not alrightSo, I'm breaking the habitI'm breaking the habit tonightClutching my cure, I tightly lock the doorI try to catch my breath againI hurt much more than anytime beforeI had no options left againI don't want to be the one the battles always choose'Cause inside, I realize that I'm the one confusedI don't know what's worth fighting for or why I have to screamI don't know why I instigate and say what I don't meanI don't know how I got this way, I'll never be alrightSo, I'm breaking the habitI'm breaking the habit tonightI'll paint it on the walls'Cause I'm the one at faultI'll never fight againAnd this is how it endsI don't know what's worth fighting for or why I have to screamBut now I have some clarity to show you what I meanI don't know how I got this way, I'll never be alrightSo, I'm breaking the habitI'm breaking the habitI'm breaking the habit tonight"
2,linkin park,Meteora,Easier to Run,"It's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneSomething has been taken from deep inside of meA secret I've kept locked away, no one can ever seeWounds so deep they never show, they never go awayLike moving pictures in my head, for years and years they've playedIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldIf I could take all the shame to the grave, I wouldIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the graveIt's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneSometimes I remember the darkness of my pastBringing back these memories I wish I didn't haveSometimes I think of letting go and never looking backAnd never moving forward so there'd never be a pastIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldIf I could take all the shame to the grave, I wouldIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the graveJust washing it asideAll of the helplessness insidePretending I don't feel misplacedIs so much simpler than changeIt's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneIt's easier to runIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I madeIt's easier to goIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the grave"
3,linkin park,Meteora,Faint,"I am a little bit of lonelinessA little bit of disregardHandful of complaints, but I can't help the factThat everyone can see these scarsI am what I want you to wantWhat I want you to feelBut it's like no matter what I do, I can't convince youTo just believe this is realSo I let go, watchin' youTurn your back like you always doFace away and pretend that I'm notBut I'll be here, 'cause you're all that I've gotI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredI am a little bit insecureA little unconfident'Cause you don't understand, I do what I canBut sometimes, I don't make senseI am what you never want to sayBut I've never had a doubtIt's like no matter what I do, I can't convince youFor once, just to hear me outSo I let go, watchin' youTurn your back like you always doFace away and pretend that I'm notBut I'll be here, 'cause you're all that I've gotI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredNo, hear me out nowYou're gonna listen to me, like it or notRight now, hear me out nowYou're gonna listen to me, like it or notRight nowI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredI can't feelDon't turn your back on me, I won't be ignoredTime won't healDon't turn your back on me, I won't be ignored"
4,linkin park,Meteora,Figure.09,"Nothin' ever stops all these thoughts and the pain attached to themSometimes I wonder why this is happenin'It's like nothin' I could do will distract me whenI think of how I shot myself in the back again'Cause from the infinite words I could sayI put all the pain you gave to me on displayBut didn't realize instead of settin' it freeI took what I hated and made it a part of meNever goes awayNever goes awayAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youHearin' your name, the memories come back againI remember when it started happenin'I'd see you in every thought I had and thenThe thoughts slowly found words attached to themAnd I knew as they escaped awayI was committin' myself to 'em and every dayI regret sayin' those things 'cause now I see that ITook what I hated and made it a part of meNever goes awayNever goes awayAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youNever goes awayNever goes awayIt never goes awayIt never goes away (Get away from me)Gimme my space back, you gotta just (Go)Everything comes down to memories of (You)I've kept it in, but now I'm lettin' you (Know)I've let you go, so get away from meGimme my space back, you gotta just (Go)Everything comes down to memories of (You)I've kept it in, but now I'm lettin' you (Know)I've let you goAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youI've let myself become youI've let myself become lost inside these thoughts of youGiving up a part of me, I've let myself become you"
5,linkin park,Meteora,From the Inside,"I don't know who to trust, no surpriseEveryone feels so far away from meHeavy thoughts sift through dust and the liesTryin' not to break, but I'm so tired of this deceitEvery time I try to make myself get back up on my feet(I) All I ever think about is this, all the tiring time betweenAnd how trying to put my trust in you just takes so much out of meTake everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youTension is building inside, steadilyEveryone feels so far away from meHeavy thoughts forcing their way out of meTryin' not to break, but I'm so tired of this deceitEvery time I try to make myself get back up on my feet(I) All I ever think about is this, all the tiring time betweenAnd how trying to put my trust in you just takes so much out of meTake everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youI won't waste myself on you, you, youWaste myself on you, you, youI'll take everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youEverything from the insideAnd just throw it all away'Cause I swear, for the last timeI won't trust myself with you, you, you"
6,linkin park,Meteora,Hit the Floor,"There are just too many times that people have tried to look inside of meWondering what I think of you and I protect you out of courtesyToo many times that I've held on when I needed to push awayAfraid to say what was on my mind, afraid to say what I need to sayToo many things that you've said about me when I'm not aroundYou think havin' the upper hand means you gotta keep puttin' me downBut I've had too many stand-offs with you, it's about as much as I can standSo I'm waitin' until the upper hand is mineOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you won, and then it's all goneSo many people like me put so much trust in all your liesSo concerned with what you think to just say what we feel insideSo many people like me walk on eggshells all day longAll I know is that all I want is to feel like I'm not stepped onThere are so many things you say that make me feel you crossed the lineWhat goes up will surely fall, and I'm countin' down the time'Cause I've had so many stand-offs with you, it's about as much as I can standSo I'm waitin' until the upper hand is mineOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you wonAnd then it's all goneAnd then it's all goneAnd then it's all goneAnd then it's all goneNow it's all goneI know I'll never trust a single thing you sayYou knew your lies would divide us, but you lied anywayAnd all the lies have got you floating up above us allBut what goes up has got to fallOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you wonAnd then it's all goneAnd then it's all goneAnd then it's all goneAnd then it's all goneNow it's all gone"
7,linkin park,Meteora,Lying from You,"When I pretend everything is what I want it to beI look exactly like what you had always wanted to seeWhen I pretend, I can forget about the criminal I amStealin' second after second just 'cause I know I can, butI can't pretend this is the way it'll stayI'm just trying to bend the truthI can't pretend I'm who you want me to beSo I'm lying my way fromYou(No, no turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of you is meI remember what they taught to meRemember condescending talk of who I ought to beRemember listenin' to all of that and this againSo I pretended up a person who was fittin' inAnd now, you think this person really is meAnd I'm trying to bend the truthBut the more I push, the more I'm pullin' away'Cause I'm lying my way fromYou(No, no turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of youThe very worst part of you is meThis isn't what I wanted to beI never thought that what I said would have you running from meLike this, this isn't what I wanted to beI never thought that what I said would have you running from meLike this (This) this isn't what I wanted to beI never thought that what I said would have you running from meLike this (This) this isn't what I wanted to beI never thought that what I said would have you running from meLike thisYou(No turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of youThe very worst part of you is me"
8,linkin park,Meteora,Nobody’s Listening,"Com-com-com-com-comin' at youCom—, at you, com-comin' at youYo, peep the style and the kids checkin' for itThe number one question is ""how could you ignore it?""We drop right back in the cut over basement tracksWith raps that got you backin' this up like ""rewind that""We're just rollin' with the rhythmRise from the ashes of stylistic divisionWith these non-stop lyrics of life livin'Not to be forgotten but still unforgivenBut in the meantime, there are thoseWho wanna talk this and that, so I supposeThat it gets to a point where feelings gotta get hurtAnd get dirty with the people spreadin' the dirt, it ​goesTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressHandful of anger held in my chestAnd everything left's a waste of timeI hate my rhymes but hate everyone else's moreI'm ridin' on the back of this pressureGuessin' that it's better I can't keep myself togetherBecause all of this stress gave me somethin' to write onThe pain gave me somethin' I could set my sights onYou never forget the blood, sweat, and tearsThe uphill struggle over years, the fearAnd trash-talkin' and the people it was toAnd the people that started it, just like youTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressHandful of anger held in my chestUphill struggle, blood, sweat, and tearsNothin' to gain, everything to fearHeart full of pain, head full of stressHandful of anger held in my chestUphill struggle, blood, sweat, and tearsNothin' to gain, everything to fearHeart full of painTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressNobody's listeningHandful of anger held in my chestNobody's listeningUphill struggle, blood, sweat, and tearsNobody's listeningNothin' to gain, everything to fearNobody's listeningCom-com-com-com-comin' at youCom-comin', comin', comin', comin' at youCom-comin', come-com-comin' atCom-com-com-com-comin' at you from every side"
9,linkin park,Meteora,Numb,"I'm tired of being what you want me to beFeeling so faithless, lost under the surfaceI don't know what you're expecting of mePut under the pressure of walking in your shoesCaught in the undertow, just caught in the undertowEvery step that I take is another mistake to youCaught in the undertow, just caught in the undertowI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youCan't you see that you're smothering me?Holding too tightly, afraid to lose control'Cause everything that you thought I would beHas fallen apart, right in front of youCaught in the undertow, just caught in the undertowEvery step that I take is another mistake to youCaught in the undertow, just caught in the undertowAnd every second I waste is more than I can takeI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youAnd I know I may end up failing, tooBut I know you were just like meWith someone disappointed in youI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youI've become so numb, I can't feel you thereI'm tired of being what you want me to beI've become so numb, I can't feel you thereI'm tired of being what you want me to be"
10,linkin park,Meteora,Somewhere I Belong,"(When this began) I had nothin' to sayAnd I'd get lost in the nothingness inside of me(I was confused) And I let it all out to findThat I'm not the only person with these things in mind(Inside of me) But all the vacancy the words revealedIs the only real thing that I've got left to feel(Nothing to lose) Just stuck, hollow, and aloneAnd the fault is my own, and the fault is my ownI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongAnd I've got nothin' to sayI can't believe I didn't fall right down on my face(I was confused) Lookin' everywhere only to findThat it's not the way I had imagined it all in my mind(So what am I?) What do I have but negativity?'Cause I can't justify the way everyone is lookin' at me(Nothing to lose) Nothin' to gain, hollow, and aloneAnd the fault is my own, and the fault is my ownI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongI will never know myself until I do this on my ownAnd I will never feel anything else until my wounds are healedI will never be anything 'til I break away from meI will break away, I'll find myself todayI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongI wanna heal, I wanna feel like I'mSomewhere I belongI wanna heal, I wanna feel like I'mSomewhere I belongSomewhere I belong"
