,artist_name,album_name,song_name,line
1,taylor Swift,Midnights,Anti-Hero,"I have this thing where I get older, but just never wiserMidnights become my afternoonsWhen my depression works the graveyard shift, all of the peopleI've ghosted stand there in the roomI should not be left to my own devicesThey come with prices and vicesI end up in crisis(Tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leaving'Cause you got tired of my scheming(For the last time)It's me, hiI'm the problem, it's meAt teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-heroSometimes, I feel like everybody is a sexy babyAnd I'm a monster on the hillToo big to hang out, slowly lurching toward your favorite cityPierced through the heart, but never killedDid you hear my covert narcissism I disguise as altruismLike some kind of congressman?(A tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leavingAnd life will lose all its meaning(For the last time)It's me, hiI'm the problem, it's me (I'm the problem, it's me)At teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-heroI have this dream my daughter-in-law kills me for the moneyShe thinks I left them in the willThe family gathers 'round and reads it and then someone screams out""She's laughing up at us from Hell""It's me, hiI'm the problem, it's meIt's me, hiI'm the problem, it's meIt's me, hiEverybody agrees, everybody agreesIt's me, hi (Hi)I'm the problem, it's me (I'm the problem, it's me)At teatime (Teatime), everybody agrees (Everybody agrees)I'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-hero"
2,taylor Swift,Midnights,Bejeweled,"Baby love, I think I've been a little too kindDidn't notice you walkin' all over my peace of mindIn the shoes I gave you as a presentPuttin' someone first only works when you're in their top fiveAnd by the way, I'm goin' out tonightBest believe I'm still bejeweledWhen I walk in the roomI can still make the whole place shimmerAnd when I meet the bandThey ask, ""Do you have a man?""I could still say, ""I don't remember""Familiarity breeds contemptDon't put mе in the basementWhеn I want the penthouse of your heartDiamonds in my eyesI polish up real, I polish up real niceNiceBaby boy, I think I've been too good of a girl (Too good of a girl)Did all the extra credit, then got graded on a curveI think it's time to teach some lessonsI made you my world (Huh), have you heard? (Huh)I can reclaim the landAnd I miss you (Miss you), but I miss sparklin' (Nice)Best believe I'm still bejeweledWhen I walk in the roomI can still make the whole place shimmerAnd when I meet the bandThey ask, ""Do you have a man?""I could still say, ""I don't remember""Familiarity breeds contemptDon't put me in the basementWhen I want the penthouse of your heartDiamonds in my eyesI polish up real, I polish up real niceNiceSapphire tears on my faceSadness became my whole skyBut some guy said my aura's moonstoneJust 'cause he was highAnd we're dancin' all nightAnd you can try to change my mindBut you might have to wait in lineWhat's a girl gonna do?A diamond's gotta shineBest believe I'm still bejeweledWhen I walk in the roomI can still make the whole place shimmer (Shimmer)And when I meet the bandThey ask, ""Do you have a man?""I could still say, ""I don't remember""Familiarity breeds contemptDon't put me in the basementWhen I want the penthouse of your heartDiamonds in my eyesI polish up real (Nice), I polish up real niceAnd we're dancin' all nightAnd you can try to change my mindBut you might have to wait in lineWhat's a girl gonna do? What's a girl gonna do?I polish up niceBest believe I'm still bejeweledWhen I walk in the roomI can still make the whole place shimmer"
3,taylor Swift,Midnights,Karma,"You're talking shit for the hell of itAddicted to betrayal, but you're relevantYou're terrified to look down'Cause if you dare, you'll see the glareOf everyone you burned just to get thereIt's coming back aroundAnd I keep my side of the street cleanYou wouldn't know what I mean'Cause karma is my boyfriendKarma is a godKarma is the breeze in my hair on the weekendKarma's a relaxing thoughtAren't you envious that for you it's not?Sweet like honey, karma is a catPurring in my lap 'cause it loves meFlexing like a goddamn acrobatMe and karma vibe like thatSpiderboy, king of thievesWeave your little webs of opacityMy pennies made your crownTrick me once, trick me twiceDon't you know that cash ain't the only price?It's coming back aroundAnd I keep my side of the street cleanYou wouldn't know what I mean'Cause karma is my boyfriendKarma is a godKarma is the breeze in my hair on the weekendKarma's a relaxing thoughtAren't you envious that for you it's not?Sweet like honey, karma is a catPurring in my lap 'cause it loves meFlexing like a goddamn acrobatMe and karma vibe like thatAsk me what I learned from all those yearsAsk me what I earned from all those tearsAsk me why so many fade, but I'm still here(I'm still here, I'm still here)'Cause karma is the thunderRattling your groundKarma's on your scent like a bounty hunterKarma's gonna track you downStep by step, from town to townSweet like justice, karma is a queenKarma takes all my friends to the summitKarma is the guy on the screenComing straight home to me'Cause karma is my boyfriend (Karma is my boyfriend)Karma is a godKarma is the breeze in my hair on the weekend (Weekend)Karma's a relaxing thoughtAren't you envious that for you it's not?Sweet like honey, karma is a catPurring in my lap 'cause it loves meFlexing like a goddamn acrobatMe and karma vibe like thatKarma is my boyfriendKarma is a god (Ah)Uh-huh, mmKarma's a relaxing thought"
4,taylor Swift,Midnights,Labyrinth,"""It only hurts this much right now""Was what I was thinkin' the whole timeBreathe in, breathe through, breathe deep, breathe outI'll be gettin' over you my whole lifeYou know how scared I am of elevatorsNever trust it if it rises fastIt can't lastUh-oh, I'm fallin' in loveOh no, I'm fallin' in love againOh, I'm fallin' in loveI thought the plane was goin' downHow'd you turn it right around?It only feels this raw right nowLost in the labyrinth of my mindBreak up, break free, break through, break downYou would break your back to make me break a smileYou know how much I hateThat everybody just expects me to bounce backJust like thatUh-oh, I'm fallin' in loveOh no, I'm fallin' in love againOh, I'm fallin' in loveI thought the plane was goin' downHow'd you turn it right around?Uh-oh, I'm fallin' in loveOh no, I'm fallin' in love againOh, I'm fallin' in loveI thought the plane was goin' downHow'd you turn it right around?Uh-oh, I'm fallin' in loveOh no, I'm fallin' in love againOh, I'm fallin' in loveI thought the plane was goin' downHow'd you turn it right around?Uh-oh, I'm fallin' in loveOh no, I'm fallin' in love againOh, I'm fallin' in loveI thought the plane was goin' downHow'd you turn it right around?"
5,taylor Swift,Midnights,Lavender Haze,"Meet me at midnightStaring at the ceiling with youOh, you don't ever say too muchAnd you don't really read intoMy melancholiaI been under scrutiny (Yeah, oh, yeah)You handle it beautifully (Yeah, oh, yeah)All this shit is new to me (Yeah, oh, yeah)I feel the lavender haze creeping up on meSurrealI'm damned if I do give a damn what people sayNo dealThe 1950s shit they want from meI just wanna stay in that lavender hazeAll they keep asking me (All they keep asking me)Is if I'm gonna be your brideThe only kinda girl they see (Only kinda girl they see)Is a one-night or a wifeI find it dizzying (Yeah, oh, yeah)They're bringing up my history (Yeah, oh, yeah)But you weren't even listening (Yeah, oh, yeah)I feel the lavender haze creepin' up on meSurrealI'm damned if I do give a damn what people sayNo dealThe 1950s shit they want from meI just wanna stay in that lavender hazeThat lavender hazeTalk your talk and go viralI just need this love spiralGet it off your chestGet it off my desk (Get it off my desk)Talk your talk and go viralI just need this love spiralGet it off your chestGet it off my deskI feel (I feel), the lavender haze creeping up on meSurrealI'm damned if I do give a damn what people sayNo deal (No deal)The 1950s shit they want from meI just wanna stay in that lavender hazeGet it off your chestGet it off my deskThat lavender hazeI just wanna stayI just wanna stay in that lavender haze"
6,taylor Swift,Midnights,Maroon,"When the morning cameWe were cleaning incense off your vinyl shelf'Cause we lost track of time againLaughing with my feet in your lapLike you were my closest friend""How'd we end up on the floor, anyway?"" you say""Your roommate's cheap-ass screw-top rosé, that's how""I see you every day nowAnd I chose youThe one I was dancing withIn New York, no shoesLooked up at the sky and it wasThe burgundy on my t-shirtWhen you splashed your wine into meAnd how the blood rushed into my cheeksSo scarlet, it wasThe mark thеy saw on my collarboneThe rust that grew bеtween telephonesThe lips I used to call homeSo scarlet, it was maroonWhen the silence cameWe were shaking, blind and hazyHow the hell did we lose sight of us again?Sobbing with your head in your handsAin't that the way shit always ends?You were standing hollow-eyed in the hallwayCarnations you had thought were roses, that's usI feel you, no matter whatThe rubies that I gave upAnd I lost youThe one I was dancing withIn New York, no shoesLooked up at the sky and it was (Maroon)The burgundy on my t-shirtWhen you splashed your wine into meAnd how the blood rushed into my cheeksSo scarlet, it was (Maroon)The mark they saw on my collarboneThe rust that grew between telephonesThe lips I used to call homeSo scarlet, it was maroonAnd I wake with your memory over meThat's a real fucking legacy, legacy (It was maroon)And I wake with your memory over meThat's a real fucking legacy to leaveThe burgundy on my t-shirtWhen you splashed your wine into meAnd how the blood rushed into my cheeksSo scarlet, it was maroonThe mark they saw on my collarboneThe rust that grew between telephonesThe lips I used to call homeSo scarlet, it was maroonIt was maroonIt was maroon"
7,taylor Swift,Midnights,Mastermind,"Once upon a time, the planets and the fatesAnd all the stars alignedYou and I ended up in the same roomAt the same timeAnd the touch of a hand lit the fuseOf a chain reaction of countermovesTo assess the equation of youCheckmate, I couldn't loseWhat if I told you none of it was accidental?And the first night that you saw meNothing was gonna stop meI laid the groundwork, and thenJust like clockworkThe dominoes cascaded in a lineWhat if I told you I'm a mastermind?And now you're mineIt was all by dеsign'Cause I'm a mastermindYou see, all the wisеst womenHad to do it this way'Cause we were born to be the pawnIn every lover's gameIf you fail to plan, you plan to failStrategy sets the scene for the taleI'm the wind in our free-flowing sailsAnd the liquor in our cocktailsWhat if I told you none of it was accidental?And the first night that you saw meI knew I wanted your bodyI laid the groundwork, and thenJust like clockworkThe dominoes cascaded in a lineWhat if I told you I'm a mastermind?And now you're mineIt was all my design'Cause I'm a mastermindNo one wanted to play with me as a little kidSo I've been scheming like a criminal ever sinceTo make them love me and make it seem effortlessThis is the first time I've felt the need to confessAnd I swearI'm only cryptic and Machiavellian'Cause I careSo I told you none of it was accidentalAnd the first night that you saw meNothing was gonna stop meI laid the groundwork, and thenSaw a wide smirk on your faceYou knew the entire timeYou knew that I'm a mastermindAnd now you're mineYeah, all you did was smile'Cause I'm a mastermind"
8,taylor Swift,Midnights,Midnight Rain,"RainHe wanted it comfortable, I wanted that painHe wanted a bride, I was making my own nameChasing that fame, he stayed the sameAll of me changed like midnightMy town was a wastelandFull of cages, full of fencesPageant queens and big pretendersBut for some, it was paradiseMy boy was a montageA slow-motion, love potionJumping off things in the oceanI broke his heart 'cause he was niceHe was sunshine, I was midnight rainHe wanted it comfortable, I wanted that painHe wanted a bride, I was making my own nameChasing that fame, he stayed the sameAll of me changed like midnightIt came like a postcardPicture perfect shiny familyHoliday peppermint candyBut for him, it's every daySo I peered through a windowA deep portal, time travelAll the love we unravelAnd the life I gave away'Cause he was sunshine, I was midnight rainHe wanted it comfortable, I wanted that painHe wanted a bride, I was making my own nameChasing that fame, he stayed the sameAll of me changed like midnight rainHe wanted it comfortable, I wanted that painHe wanted a bride, I was making my own nameChasing that fame, he stayed the sameAll of me changed like midnightI guess sometimes we all getJust what we wanted, just what we wantedAnd he never thinks of meExcept for when I'm on TVI guess sometimes we all getSome kind of haunted, some kind of hauntedAnd I never think of himExcept on midnights like this(Midnights like this, midnights like this)"
9,taylor Swift,Midnights,Question...?,"I rememberGood girl, sad boyBig city, wrong choicesWe had one thing goin' onI swear that it was somethin''Cause I don't remember who I wasBefore you painted all my nightsA color I've searched for sinceBut one thing after anotherFuckin' situations, circumstancesMiscommunications, and IHave to say, by the wayI just may like some explanationsCan I ask you a question?Did you ever have someone kiss you in a crowded roomAnd every single one of your friends was makin' fun of youBut fifteen seconds later, thеy were clappin' too?Then what did you do?Did you lеave her house in the middle of the night? OhDid you wish you'd put up more of a fight, ohWhen she said it was too much?Do you wish you could still touch her?It's just a questionHalf-moon eyes, bad surpriseDid you realize out of time?She was on your mind with some dickhead guyThat you saw that nightBut you were on somethin'It was one drink after anotherFuckin' politics and gender rolesAnd you're not sure and I don't knowGot swept away in the grayI just may like to have a conversationCan I ask you a question?Did you ever have someone kiss you in a crowded roomAnd every single one of your friends was makin' fun of youBut fifteen seconds later, they were clappin' too?Then what did you do?Did you leave her house in the middle of the night? OhDid you wish you'd put up more of a fight, ohWhen she said it was too much?Do you wish you could still touch her?It's just a questionDoes it feel like everything's just likeSecond best after that meteor strike?And what's that that I heard? That you're still with her?That's nice, I'm sure that's what's suitableAnd right, but tonightCan I ask you a question? (Can I ask you a question?)Did you ever have someone kiss you in a crowded room (In a crowded room)And every single one of your friends was makin' fun of you (Makin' fun of you)But fifteen seconds later, they were clappin' too?Then what did you do? (Do)Did you leave her house in the middle of the night? OhDid you wish you'd put up more of a fight, oh (More of a fight)When she said it was too much?Do you wish you could still touch her?It's just a question"
10,taylor Swift,Midnights,Snow On The Beach,"One night, a few moons agoI saw flecks of what could've been lightsBut it might just have been youPassing by unbeknownst to meLife is emotionally abusiveAnd time can't stop me quite like you didAnd my flight was awful, thanks for askingI'm unglued, thanks to youAnd it's like snow at the beachWeird, but fuckin' beautifulFlying in a dreamStars by the pocketfulYou wanting meTonight feels impossibleBut it's comin' downNo sound, it's all aroundLike snow on the beachLike snow on the beachLike snow on the beachLike snow, ahThis scene feels like what I once saw on a screenI searched ""aurora borealis green""I've never seen someone lit from withinBlurring out my peripheryMy smile is like I won a contestAnd to hide that would be so dishonestAnd it's fine to fake it 'til you make it'Til you do, 'til it's trueNow it's like snow at the beachWeird, but fuckin' beautifulFlying in a dreamStars by the pocketfulYou wanting meTonight feels impossibleBut it's comin' downNo sound, it's all aroundLike snow on the beachLike snow on the beachLike snow on the beachLike snow, ahI (I) can't (Can't) speak, afraid to jinx itI (I) don't (Don't) even dare to wish itBut your eyes are flying saucers from another planetNow I'm all for you like JanetCan this be a real thing? Can it?Are we falling like snow at the beach? (Snow at the beach)Weird, but fuckin' beautifulFlying in a dream (Flying in a dream)Stars by the pocketfulYou wanting me (You wanting me)Tonight feels impossibleBut it's comin' downNo sound, it's all aroundLike snow on the beach (Snow on the beach)Like snow on the beach (Flying in a dream)Like snow on the beach (You wanting me)Like snow, ahBut it's comin' downNo sound, it's all aroundLike snow on the beach(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)Like snow on the beach(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)(It's comin' down, it's comin' down)"
